 ,Area
1,443
2,300
3,290
4,424
5,310
6,361
7,466
8,306
9,414
10,273
11,296
12,296
13,273
14,377
15,330
16,293
17,411
18,343
19,393
20,107
21,289
22,421
23,292
24,329
25,285
26,322
27,349
28,388
29,307
30,395
31,300
32,268
33,381
34,480
35,340
36,320
37,314
38,343
39,298
40,363
41,298
42,267
43,300
44,376
45,488
46,355
47,290
48,384
49,358
50,404
51,277
52,274
53,433
54,303
55,303
56,303
57,344
58,347
59,484
60,196
61,352
62,211
63,154
64,487
65,306
66,351
67,295
68,253
69,354
70,486
71,294
72,253
73,333
74,350
75,265
76,227
77,325
78,259
79,278
80,469
81,285
82,308
83,347
84,377
85,234
86,356
87,351
88,332
89,341
90,220
91,293
92,299
93,461
94,346
95,493
96,314
97,311
98,354
99,291
100,356
101,315
102,219
103,296
104,278
105,275
106,354
107,196
108,376
109,324
110,228
111,375
112,356
113,421
114,293
115,397
116,454
117,335
118,321
119,403
120,236
121,235
122,282
123,342
124,304
125,424
126,325
127,325
128,427
129,385
130,307
131,346
132,278
133,288
134,427
135,346
136,376
137,318
138,250
139,477
140,357
141,275
142,271
143,126
144,241
145,380
146,145
147,308
148,269
149,436
150,340
151,314
152,328
153,326
154,277
155,267
156,334
157,356
158,321
159,302
160,420
161,259
162,406
163,386
164,316
165,337
166,372
167,402
168,421
169,472
170,256
171,203
172,441
173,377
174,335
175,277
176,432
177,300
178,337
179,240
180,316
181,323
182,374
183,300
184,329
185,292
186,316
187,472
188,65
189,294
190,176
191,214
192,385
193,308
194,249
195,354
196,389
197,191
198,301
199,260
200,403
201,318
202,375
203,331
204,174
205,280
206,297
207,433
208,347
209,216
210,258
211,358
212,391
213,273
214,374
215,381
216,318
217,462
218,400
219,409
220,192
221,193
222,301
223,338
224,381
225,337
226,360
227,244
228,140
229,428
230,387
231,441
232,288
233,318
234,410
235,357
236,303
237,306
238,171
239,268
240,237
241,488
242,253
243,260
244,403
245,337
246,287
247,376
248,238
249,268
250,429
251,329
252,365
253,277
254,222
255,460
256,240
257,447
258,277
259,476
260,353
261,259
262,392
263,347
264,348
265,325
266,280
267,479
268,321
269,235
270,245
271,181
272,228
273,428
274,159
275,410
276,214
277,288
278,259
279,361
280,397
281,277
282,378
283,338
284,278
285,392
286,450
287,450
288,387
289,276
290,336
291,223
292,263
293,470
294,218
295,274
296,283
297,445
298,386
299,429
300,438
301,222
302,478
303,319
304,412
305,349
306,386
307,458
308,249
309,307
310,333
311,223
312,408
313,220
314,321
315,220
316,363
317,244
318,323
319,299
320,249
321,342
322,321
323,423
324,406
325,278
326,180
327,217
328,479
329,285
330,232
331,360
332,320
333,282
334,400
335,215
336,491
337,281
338,315
339,370
340,386
341,282
342,390
343,352
344,398
345,404
346,228
347,331
348,202
349,369
350,271
351,339
352,292
353,249
354,376
355,368
356,325
357,348
358,259
359,387
360,213
361,319
362,500
363,371
364,355
365,186
366,384
367,381
368,211
369,422
370,484
371,367
372,356
373,435
374,226
375,278
376,258
377,398
378,371
379,375
380,357
381,264
382,160
383,307
384,466
385,419
386,348
387,324
388,361
389,329
390,261
391,330
392,310
393,361
394,254
395,288
396,240
397,192
398,328
399,342
400,234
401,375
402,363
403,299
404,330
405,401
406,349
407,346
408,320
409,353
410,485
411,340
412,165
413,182
414,241
415,326
416,204
417,383
418,317
419,206
420,297
421,334
422,268
423,200
424,446
425,252
426,402
427,382
428,375
429,246
430,410
431,349
432,322
433,342
434,395
435,364
436,295
437,347
438,233
439,236
440,265
441,296
442,304
443,324
444,431
445,304
446,488
447,260
448,298
449,234
450,266
451,273
452,253
453,238
454,185
455,240
456,294
457,338
458,247
459,242
460,428
461,422
462,240
463,286
464,283
465,241
466,273
467,45
468,288
469,341
470,213
471,480
472,255
473,418
474,211
475,95
476,279
477,129
478,245
479,287
480,360
481,217
482,108
483,387
484,195
485,246
486,239
487,342
488,260
489,393
490,272
491,372
492,316
493,369
494,242
495,245
496,393
497,282
498,283
499,253
500,292
501,35
502,432
503,291
504,204
505,242
506,411
507,406
508,297
509,440
510,234
511,380
512,331
513,222
514,441
515,400
516,462
517,319
518,354
519,281
520,313
521,221
522,219
523,308
524,237
525,245
526,254
527,257
528,490
529,253
530,385
531,250
532,434
533,272
534,399
535,303
536,280
537,269
538,202
539,387
540,305
541,349
542,74
543,316
544,253
545,270
546,397
547,350
548,231
549,428
550,358
551,227
552,275
553,37
554,485
555,237
556,481
557,345
558,485
559,234
560,279
561,236
562,470
563,253
564,218
565,263
566,258
567,292
568,498
569,266
570,281
571,251
572,317
573,298
574,308
575,391
576,329
577,397
578,253
579,341
580,251
581,225
582,272
583,255
584,223
585,327
586,241
587,282
588,381
589,337
590,418
591,238
592,249
593,233
594,144
595,164
596,202
597,259
598,299
599,393
600,286
601,411
602,294
603,350
604,495
605,338
606,343
607,298
608,492
609,417
610,373
611,323
612,280
613,434
614,298
615,272
616,338
617,361
618,253
619,356
620,403
621,226
622,311
623,327
624,344
625,315
626,284
627,445
628,440
629,54
630,306
631,314
632,277
633,151
634,303
635,314
636,153
637,246
638,248
639,198
640,398
641,273
642,236
643,483
644,200
645,279
646,332
647,356
648,277
649,242
650,336
651,311
652,296
653,263
654,377
655,162
656,278
657,308
658,359
659,364
660,274
661,119
662,480
663,266
664,327
665,316
666,418
667,310
668,279
669,281
670,122
671,362
672,458
673,353
674,278
675,318
676,291
677,278
678,202
679,308
680,302
681,231
682,299
683,314
684,297
685,286
686,474
687,292
688,281
689,321
690,201
691,384
692,372
693,295
694,272
695,275
696,369
697,365
698,393
699,264
700,357
701,416
702,321
703,295
704,308
705,455
706,339
707,273
708,294
709,323
710,40
711,297
712,292
713,270
714,363
715,381
716,323
717,309
718,298
719,193
720,472
721,410
722,471
723,244
724,26
725,377
726,256
727,283
728,295
729,403
730,38
731,327
732,265
733,323
734,265
735,204
736,320
737,179
738,299
739,318
740,370
741,421
742,203
743,289
744,298
745,361
746,282
747,309
748,334
749,47
750,248
751,317
752,292
753,416
754,435
755,246
756,282
757,460
758,309
759,106
760,224
761,298
762,299
763,351
764,280
765,330
766,279
767,281
768,269
769,260
770,274
771,244
772,317
773,355
774,299
775,330
776,288
777,259
778,371
779,262
780,327
781,386
782,104
783,285
784,389
785,361
786,475
787,293
788,290
789,417
790,439
791,340
792,278
793,353
794,304
795,288
796,358
797,334
798,465
799,460
800,280
801,268
802,322
803,308
804,278
805,276
806,302
807,369
808,266
809,285
810,274
811,276
812,270
813,306
814,298
815,284
816,305
817,298
818,403
819,359
820,249
821,366
822,345
823,272
824,287
825,313
826,275
827,332
828,364
829,288
830,261
831,281
832,294
833,275
834,164
835,51
836,305
837,302
838,331
839,302
840,255
841,333
842,161
843,325
844,308
845,306
846,401
847,328
848,368
849,262
850,320
851,315
852,271
853,301
854,327
855,332
856,319
857,279
858,167
859,361
860,386
861,279
862,308
863,223
864,27
865,433
866,345
867,190
868,268
869,354
870,279
871,182
872,427
873,305
874,230
875,272
876,285
877,289
878,294
879,279
880,303
881,266
882,222
883,280
884,399
885,310
886,300
887,283
888,266
889,301
890,297
891,346
892,303
893,407
894,292
895,293
896,296
897,424
898,302
899,393
900,271
901,314
902,450
903,407
904,288
905,456
906,281
907,257
908,255
909,350
910,336
911,310
912,246
913,327
914,215
915,471
916,295
917,379
918,328
919,220
920,255
921,306
922,368
923,425
924,482
925,135
926,306
927,368
928,423
929,288
930,322
931,424
932,241
933,237
934,119
935,283
936,300
937,319
938,247
939,274
940,345
941,184
942,496
943,290
944,278
945,212
946,416
947,299
948,296
949,207
950,264
951,280
952,179
953,325
954,269
955,299
956,500
957,368
958,134
959,462
960,381
961,272
962,230
963,425
964,456
965,358
966,408
967,152
968,495
969,362
970,294
971,254
972,238
973,381
974,490
975,251
976,193
977,248
978,276
979,265
980,488
981,48
982,326
983,412
984,361
985,252
986,305
987,320
988,274
989,278
990,355
991,323
992,312
993,371
994,355
995,453
996,414
997,350
998,265
999,273
1000,305
1001,276
1002,349
1003,317
1004,272
1005,255
1006,266
1007,300
1008,280
1009,280
1010,303
1011,273
1012,294
1013,277
1014,282
1015,257
1016,252
1017,286
1018,269
1019,361
1020,263
1021,270
1022,440
1023,407
1024,54
1025,315
1026,379
1027,264
1028,442
1029,404
1030,293
1031,363
1032,230
1033,283
1034,304
1035,483
1036,370
1037,315
1038,291
1039,278
1040,271
1041,357
1042,283
1043,289
1044,307
1045,271
1046,348
1047,408
1048,285
1049,262
1050,368
1051,300
1052,275
1053,280
1054,255
1055,214
1056,252
1057,305
1058,387
1059,307
1060,295
1061,412
1062,246
1063,285
1064,21
1065,273
1066,235
1067,296
1068,297
1069,363
1070,298
1071,314
1072,219
1073,281
1074,266
1075,352
1076,303
1077,289
1078,280
1079,265
1080,498
1081,252
1082,247
1083,299
1084,419
1085,226
1086,416
1087,258
1088,275
1089,363
1090,174
1091,440
1092,274
1093,298
1094,480
1095,478
1096,302
1097,285
1098,498
1099,277
1100,240
1101,289
1102,266
1103,217
1104,299
1105,486
1106,440
1107,346
1108,382
1109,386
1110,305
1111,280
1112,271
1113,300
1114,445
1115,272
1116,263
1117,261
1118,481
1119,417
1120,280
1121,252
1122,267
1123,306
1124,257
1125,252
1126,301
1127,158
1128,320
1129,424
1130,308
1131,286
1132,387
1133,336
1134,487
1135,135
1136,271
1137,299
1138,413
1139,319
1140,315
1141,196
1142,253
1143,266
1144,249
1145,497
1146,24
1147,316
1148,244
1149,186
1150,354
1151,273
1152,81
1153,399
1154,412
1155,388
1156,298
1157,419
1158,172
1159,422
1160,266
1161,290
1162,278
1163,58
1164,325
1165,134
1166,383
1167,270
1168,449
1169,283
1170,402
1171,422
1172,227
1173,404
1174,446
1175,289
1176,363
1177,317
1178,121
1179,442
1180,311
1181,272
1182,299
1183,466
1184,182
1185,287
1186,258
1187,301
1188,75
1189,290
1190,55
1191,272
1192,298
1193,321
1194,384
1195,47
1196,292
1197,81
1198,500
1199,167
1200,299
1201,368
1202,364
1203,283
1204,296
1205,234
1206,77
1207,362
1208,261
1209,278
1210,281
1211,414
1212,269
1213,275
1214,433
1215,493
1216,276
1217,294
1218,282
1219,305
1220,391
1221,216
1222,316
1223,287
1224,469
1225,426
1226,185
1227,355
1228,306
1229,392
1230,326
1231,151
1232,361
1233,496
1234,293
1235,309
1236,447
1237,285
1238,293
1239,303
1240,304
1241,423
1242,347
1243,338
1244,275
1245,256
1246,328
1247,299
1248,318
1249,217
1250,335
1251,375
1252,118
1253,303
1254,194
1255,186
1256,372
1257,375
1258,296
1259,430
1260,306
1261,433
1262,260
1263,320
1264,321
1265,370
1266,155
1267,415
1268,329
1269,309
1270,430
1271,204
1272,303
1273,320
1274,287
1275,61
1276,347
1277,281
1278,248
1279,429
1280,365
1281,378
1282,317
1283,291
1284,119
1285,228
1286,276
1287,316
1288,319
1289,287
1290,266
1291,215
1292,318
1293,361
1294,417
1295,300
1296,306
1297,324
1298,308
1299,490
1300,321
1301,314
1302,231
1303,240
1304,319
1305,467
1306,296
1307,305
1308,361
1309,242
1310,324
1311,426
1312,295
1313,420
1314,464
1315,199
1316,269
1317,319
1318,372
1319,461
1320,407
1321,309
1322,199
1323,303
1324,320
1325,202
1326,338
1327,324
1328,460
1329,254
1330,309
1331,450
1332,39
1333,305
1334,44
1335,308
1336,318
1337,307
1338,321
1339,328
1340,439
1341,330
1342,324
1343,310
1344,378
1345,283
1346,354
1347,303
1348,408
1349,384
1350,278
1351,286
1352,454
1353,294
1354,186
1355,288
1356,274
1357,362
1358,301
1359,297
1360,327
1361,319
1362,323
1363,303
1364,352
1365,331
1366,236
1367,285
1368,280
1369,442
1370,459
1371,307
1372,313
1373,322
1374,282
1375,321
1376,329
1377,199
1378,482
1379,274
1380,276
1381,293
1382,435
1383,283
1384,343
1385,292
1386,308
1387,345
1388,351
1389,489
1390,316
1391,232
1392,493
1393,29
1394,318
1395,402
1396,151
1397,486
1398,275
1399,372
1400,375
1401,285
1402,354
1403,295
1404,249
1405,490
1406,316
1407,492
1408,439
1409,336
1410,298
1411,276
1412,301
1413,299
1414,377
1415,349
1416,483
1417,320
1418,293
1419,301
1420,300
1421,285
1422,354
1423,490
1424,325
1425,324
1426,344
1427,467
1428,489
1429,319
1430,308
1431,317
1432,294
1433,324
1434,430
1435,436
1436,315
1437,474
1438,391
1439,382
1440,311
1441,303
1442,497
1443,371
1444,337
1445,296
1446,311
1447,440
1448,305
1449,331
1450,282
1451,302
1452,408
1453,292
1454,205
1455,320
1456,207
1457,304
1458,278
1459,474
1460,428
1461,308
1462,464
1463,353
1464,309
1465,283
1466,312
1467,282
1468,465
1469,354
1470,285
1471,313
1472,302
1473,312
1474,440
1475,306
1476,343
1477,349
1478,305
1479,383
1480,385
1481,338
1482,195
1483,183
1484,290
1485,283
1486,269
1487,348
1488,323
1489,318
1490,484
1491,290
1492,303
1493,164
1494,309
1495,385
1496,287
1497,320
1498,299
1499,373
1500,249
1501,229
1502,296
1503,214
1504,294
1505,20
1506,441
1507,309
1508,352
1509,461
1510,318
1511,294
1512,305
1513,289
1514,320
1515,329
1516,357
1517,311
1518,342
1519,326
1520,189
1521,289
1522,210
1523,324
1524,236
1525,326
1526,415
1527,372
1528,321
1529,308
1530,338
1531,325
1532,305
1533,325
1534,441
1535,332
1536,67
1537,288
1538,338
1539,308
1540,314
1541,289
1542,449
1543,321
1544,382
1545,61
1546,379
1547,340
1548,312
1549,321
1550,182
1551,469
1552,327
1553,96
1554,330
1555,287
1556,292
1557,346
1558,489
1559,328
1560,348
1561,373
1562,326
1563,464
1564,330
1565,413
1566,295
1567,236
1568,325
1569,361
1570,293
1571,335
1572,333
1573,434
1574,428
1575,341
1576,323
1577,455
1578,303
1579,291
1580,304
1581,365
1582,283
1583,314
1584,318
1585,332
1586,328
1587,268
1588,484
1589,456
1590,451
1591,316
1592,375
1593,287
1594,307
1595,324
1596,455
1597,366
1598,243
1599,330
1600,443
1601,256
1602,310
1603,289
1604,411
1605,183
1606,466
1607,333
1608,302
1609,389
1610,356
1611,454
1612,332
1613,164
1614,441
1615,332
1616,358
1617,273
1618,321
1619,366
1620,406
1621,411
1622,470
1623,271
1624,303
1625,327
1626,297
1627,347
1628,304
1629,310
1630,311
1631,495
1632,336
1633,289
1634,327
1635,304
1636,474
1637,280
1638,388
1639,398
1640,364
1641,339
1642,267
1643,209
1644,209
1645,486
1646,311
1647,452
1648,220
1649,494
1650,145
1651,456
1652,470
